title;link;published;language;redirect;redirectLink;articleImage;articleBody
From Water To Apples: NewJeans Spills On What They Really Eat ... - Koreaboo;https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9zdG9yaWVzL3dhdGVyLWFwcGxlcy1uZXdqZWFucy1zcGlsbHMtZWF0LWJyZWFrZmFzdC_SAQA?oc=5;2023-07-26 09:06:50;1;True;https://www.koreaboo.com/stories/water-apples-newjeans-spills-eat-breakfast/;;Ever wondered what K-Pop girl group NewJeans eats for breakfast? When it comes to starting their day on the right foot, the members prioritize fresh and nutritious food! They talked all about it in a recent interview where they also reflected on their first year since debut. Without further ado, check out what each member enjoys eating below. | @NewJeans_ADOR/Twitter For Danielle , mornings begin with a quick juice blend. She mixes together various fruits like apples, oranges, and blueberries with coconut water. Not only does it sound positively refreshing, it also seems delicious! What did you eat this morning? I made juice this morning and drank that. I blended up apple, orange blueberry, and coconut water and drank that It was so good I had apples this morning. It’s seriously good. — Danielle Your browser does not support video. Members Haerin and Haein keep things simple and have apples for breakfast. The latter couldn’t finish the one she started eating a few days ago, so she made sure to consume it right away. Haerin: I love eating apples in the mornings these days so I’ve been eating apples every day. Haein: A few days ago, I couldn’t finish my apple so I left it in the fridge and I thought I should eat it quickly so I had it this morning. Your browser does not support video. Like the two, Hanni also loves apples. Unfortunately, during the day of the interview, she only had time to drink a glass of water. “ I just had water. I normally eat apples. Bunnies would know. I love apples, ” she explained. Your browser does not support video. Finally, the only odd one out was Minji , and it’s because she had eggs for her meal. She said, “ I had eggs this morning. ” It’s a great source of protein to fill her stomach! Your browser does not support video. Meanwhile, watch the full interview below. NewJeans Netizens Call Out Viral Community Post Claiming NewJeans’ Hanni Looks “Too Southeast Asian” NewJeans Officially Drops “ASAP” Music Video NewJeans’ “ETA” Music Video Finally Explained — Director Points Out Two Key Scenes “NewJeans Members Are Raised With Love”: ADOR’s CEO Min Hee Jin Is Praised For The Way She Directs NewJeans See more NewJeans Share This Post Facebook Twitter Next Page
Listen to NewJeans' heartwarming cover of IU's 'Celebrity' - NME;https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3Lm5tZS5jb20vbmV3cy9tdXNpYy9uZXdqZWFucy1pdS1wYWxldHRlLWNlbGVicml0eS1odXJ0LWNvdmVyLXBlcmZvcm1hbmNlLTM0NzM1NjbSAQA?oc=5;2023-07-26 08:57:32;1;True;https://www.nme.com/news/music/newjeans-iu-palette-celebrity-hurt-cover-performance-3473566;;
BTS·뉴진스, 페이커 팬도 털렸다···부정결제 피해 확산 '일파만파'[머니 ... - 헤럴드경제;https://news.google.com/rss/articles/CBMiNWh0dHA6Ly9uZXdzLmhlcmFsZGNvcnAuY29tL3ZpZXcucGhwP3VkPTIwMjMwNzI2MDAwNzA50gEA?oc=5;2023-07-26 08:20:29;0;True;http://news.heraldcorp.com/view.php?ud=20230726000709;;
네이버 나우(NOW) 경쟁력 키우기 포기 못 해, 최수연 K팝 인기 적극 활용 - 비즈니스포스트;https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmJ1c2luZXNzcG9zdC5jby5rci9CUD9jb21tYW5kPWFydGljbGVfdmlldyZudW09MzIyNDQ30gEA?oc=5;2023-07-26 07:53:04;0;True;https://www.businesspost.co.kr/BP?command=article_view&num=322447;https://www.businesspost.co.kr/news/photo/202301/20230105182650_117756.jpg;"[비즈니스포스트] 네이버가 동영상플랫폼 나우(NOW)의 경쟁력 강화에 시동을 걸었다. 숏폼 도입에 이어 나우에 K팝 방송까지 출시하는 등 최수연 네이버 대표이사의 젊은 이용자 공략이 눈에 띈다. ▲ 최수연 네이버 대표이사. 25일 네이버에 따르면 8월 한 달 동안 뉴진스 특집으로 노래 무대와 예능 콘텐츠를 제작해 나우에 공개한다. 뉴진스 콘텐츠는 네이버가 계열사인 플레이리스트와 손잡고 자체 제작하는 K팝 차트쇼 '엔팝(NPOP)'의 프리뷰로 선보이게 되며 나우 모바일 앱과 웹버전에서 볼 수 있다. 네이버는 국내의 기존 음악프로그램이 주간차트만 발표하는 것과 차별되도록 월간 음원차트를 집계하는 엔팝을 기획했다고 설명했다. 아이돌그룹의 무대 퍼포먼스뿐만 아니라 팬들과 소통하면서 각종 미션을 수행하는 예능프로그램도 제작하기로 했다. 네이버는 매주 음악방송 콘텐츠를 방송하기 위해 연예기획사들과 파트너십도 맺어나가고 있다. 네이버가 엔팝을 출시하는 것은 K팝 인기를 활용해 젊은 이용자들을 공략함으로써 동영상플랫폼 나우의 경쟁력을 높이려는 것으로 보인다. 나우는 2019년 라이브오디오스트리밍을 제공하는 서비스로 시작됐다. 이와 별도로 네이버는 2012년부터 네이버TV라는 동영상스트리밍플랫폼도 운영해왔다. 네이버TV는 유튜브, 아프리카TV, 넷플릭스, 디즈니플러스, 티빙 등 여러 온라인동영상스트리밍서비스(OTT) 사업자에 밀려 경쟁력을 잃었다는 평가를 받았다. 최수연 대표는 취임한 직후인 작년 3월 말 네이버TV와 나우의 모바일버전을 통합한 애플리케이션을 선보였다. 모바일에서는 나우로 통합함으로써 이용자들이 한 곳에 모이도록 한 것이다. 그럼에도 네이버TV의 이용자는 계속해서 줄어들었다. 올해 5월 기준 네이버TV의 월간활성이용자(MAU)는 59만 명으로 작년 3월의 119만 명의 절반으로 감소했다. 네이버는 현재 네이버TV의 웹서비스는 별도로 유지하고 있지만 이마저도 3분기에는 나우에 통합하기로 했다. 네이버는 네이버TV를 흡수하는 나우에 오리지널 콘텐츠인 엔팝까지 선보이며 이용자 늘리기에 집중한다. 특히 통합 플랫폼으로 거듭나는 나우가 처음 선보이는 콘텐츠가 K팝 차트쇼인 것은 네이버가 특히 젊은 이용자들을 노렸다는 뜻으로 풀이된다. ▲ 네이버의 월간 K팝 차트쇼 프리뷰에 출연하는 뉴진스. <어도어> 최수연 대표의 MZ세대에 대한 관심은 최근 숏폼 플랫폼인 ‘클립’ 출시를 선언한 것에서도 알 수 있다. 숏폼은 짧은 영상을 일컫는 용어로 요즘 젊은 이용자들 사이에 큰 인기를 끌고 있는 콘텐츠다. 네이버는 하반기 출시를 목표로 클립에 대한 사내 테스트를 진행 중이다. 최 대표는 엔팝 출시를 발표하는 자료에서 ""네이버플랫폼을 통해 아티스트와 이용자가 실시간으로 소통하고 콘텐츠를 함께 만들어가는 차별화된 음악 방송을 경험할 수 있을 것으로 기대한다""며 ""론칭 이후에도 이용자들의 반응을 꾸준히 수렴해 다양한 NPOP 콘텐츠를 기획ㆍ제작하고 네이버에서 한층 풍성한 볼거리를 만날 수 있도록 지원할 예정이다""고 말했다. 업계에서는 네이버가 영화 서비스를 담당하는 시리즈온까지 나우에 통합할 수 있다는 관측도 내놓는다. 네이버도 동영상 콘텐츠 사이 시너지를 강화하기 위한 방향으로 논의가 진행 중임을 밝혀 나우의 시리즈온 통합도 조만간 추진될 것으로 전망된다. 이같은 네이버의 행보는 최근 동영상 서비스에서 한 발 물러서는 모양새를 취하고 있는 카카오와는 상반된다. 카카오는 2015년 카카오TV를 출시한 뒤 2021년에는 이를 카카오톡 세번째 탭에 추가했다. 콘텐츠 다양화를 위해 카카오엔터테인먼트로부터 오리지널 콘텐츠도 공급받도록 했다. 하지만 카카오 역시 여러 OTT 업체들에 밀려 카카오TV 경쟁력이 하락하자 카카오엔터테인먼트 오리지널 콘텐츠 제작을 중단하고 카카오TV는 카카오톡 탭에서 없앴다. 네이버는 동영상 콘텐츠에 대한 젊은층의 관심이 높은 만큼 포기하지 않고 서비스 통합과 개편을 통해 경쟁력 강화에 나선 것으로 보인다. 네이버 관계자는 ""엔팝은 다른 음악방송과 달리 무대영상뿐만 아니라 리얼리티 영상도 동시에 제공하는 만큼 콘텐츠와 형식에서 다양성을 갖춰 이용자들에게 다채로운 볼거리로 다가가려고 한다""고 말했다. 임민규 기자"
뉴진스 토끼를 만나보세요…뉴진스X스포티파이, ‘버니랜드’ 캠페인 - 동아일보;https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL0N1bHR1cmUvYXJ0aWNsZS9hbGwvMjAyMzA3MjYvMTIwNDI1Mjg3LzHSATdodHRwczovL3d3dy5kb25nYS5jb20vbmV3cy9hbXAvYWxsLzIwMjMwNzI2LzEyMDQyNTI4Ny8x?oc=5;2023-07-26 07:48:00;0;True;https://www.donga.com/news/Culture/article/all/20230726/120425287/1;;
뉴진스, 미니 2집 ‘ASAP’ 뮤직비디오 공개 - 뉴스브라이트;https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3Lm5ld3Nicml0ZS5uZXQvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTE3NDcwNtIBPmh0dHA6Ly93d3cubmV3c2JyaXRlLm5ldC9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89MTc0NzA2?oc=5;2023-07-26 07:23:07;0;True;https://www.newsbrite.net/news/articleView.html?idxno=174706;;
Korean Influencer Who Became A Star Only After Leaving South Korea - Koreaboo;https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9zdG9yaWVzL2tvcmVhbi1pbmZsdWVuY2VyLWJlY2FtZS1zdGFyLWFmdGVyLWxlYXZpbmctc291dGgta29yZWEv0gEA?oc=5;2023-07-26 07:05:11;1;True;https://www.koreaboo.com/stories/korean-influencer-became-star-after-leaving-south-korea/;;
"Netizens Call Out Viral Community Post Claiming NewJeans' Hanni Looks ""Too Southeast Asian"" - Koreaboo";https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL25ldGl6ZW5zLWNhbGwtdmlyYWwtY29tbXVuaXR5LXBvc3QtY2xhaW1pbmctbmV3amVhbnMtaGFubmktbG9va3MtdG9vLXNvdXRoZWFzdC1hc2lhbi_SAQA?oc=5;2023-07-26 06:58:04;1;True;https://www.koreaboo.com/news/netizens-call-viral-community-post-claiming-newjeans-hanni-looks-too-southeast-asian/;;
NewJeans unveil ethereal 'ASAP' music video - NME;https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm5tZS5jb20vbmV3cy9tdXNpYy9uZXdqZWFucy1nZXQtdXAtYXNhcC1tdXNpYy12aWRlby1yZWxlYXNlLTM0NzM1MjDSAQA?oc=5;2023-07-26 06:32:15;1;True;https://www.nme.com/news/music/newjeans-get-up-asap-music-video-release-3473520;;
뉴진스 신곡 'ETA' 뮤직비디오의 비밀은? - 충청신문;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3LmRhaWx5Y2MubmV0L25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz03NTA5OTfSAT1odHRwczovL3d3dy5kYWlseWNjLm5ldC9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NzUwOTk3?oc=5;2023-07-26 05:54:24;0;True;https://www.dailycc.net/news/articleView.html?idxno=750997;;
"NewJeans Officially Drops ""ASAP"" Music Video - Koreaboo";https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL25ld2plYW5zLW9mZmljaWFsbHktZHJvcHMtYXNhcC1tdXNpYy12aWRlby_SAQA?oc=5;2023-07-26 03:22:37;1;True;https://www.koreaboo.com/news/newjeans-officially-drops-asap-music-video/;;
뉴진스 'ASAP', 금발이 너무해…미니 2집 '빌보드 200' 1위 유력 - 뉴시스;https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIzMDcyNl8wMDAyMzkxMDYz0gEA?oc=5;2023-07-26 02:54:16;0;True;https://mobile.newsis.com/view.html?ar_id=NISX20230726_0002391063;//image.newsis.com/2023/07/26/NISI20230726_0001325274_web.jpg?rnd=20230726114612;"[서울=뉴시스] 뉴진스 'ASAP' 뮤직비디오. 2023.07.26. (사진 = 어도어 제공) photo@newsis.com *재판매 및 DB 금지 [서울=뉴시스]이재훈 기자 = 신드롬 걸그룹 '뉴진스(NewJeans)'가 미니 2집 '겟 업(Get Up)' 수록곡 'ASAP' 뮤직비디오를 26일 0시 하이브 레이블즈 유튜브 채널에 공개했다. 뉴진스 다섯 멤버들은 이번 'ASAP' 뮤직비디오에서 '금발 요정'으로 변신했다. 신스 사운드와 멤버들의 나른한 음색이 주는 몽환적인 곡 분위기와 조화를 이룬다. 소속사 어도어는 ""이들은 미스테리한 공간에서 가만히 누워있거나 때로는 함께 춤추고 뛰어다니며 독특한 분위기를 연출했다. 귀여운 일러스트와 애니메이션 효과를 사용해 노래의 메시지를 재미있게 전달하는 한편, 시각적으로 보는 즐거움을 더했다""고 소개했다. 이로써 뉴진스는 이번 미니 2집에 담긴 6곡의 뮤직비디오를 모두 선보였다. 어도어와 제작자인 민희진 총괄 프로듀서는 이번 뉴진스 '겟 업' 수록곡 뮤직비디오들도 역량을 다시 확인받고 있다. 애플('ETA'), 파워퍼프 걸('뉴 진스(New Jeans)') 등 글로벌 브랜드와 협업을 비롯해 량차오웨이(양조위), 정호연 배우의 출연('쿨 위드 유(Cool With You)') 등이 화제가 됐다. 뮤직비디오 연출 방식도 다양했다. 배우들이 출연한 드라마타이즈 형식('쿨 위드 유' & '겟 업')부터 애니메이션('뉴 진스'), 일러스트('ASAP')를 활용한 방식, 플래시몹 퍼포먼스에 집중한 뮤직비디오('슈퍼 샤이')까지 각양각색의 뮤직비디오는 공개 직후 트위터 실시간 트렌드 진입 및 유튜브 트렌딩 월드와이드 1위를 찍었다. '좋은 음악'이라는 본질적 요소로 뮤직비디오와 퍼포먼스 완성도까지 높였다는 평을 받는 뉴진스 '겟업'은 미국 8월5일 자 미국 빌보드 메인 앨범차트 '빌보드 200'에서 1위를 차지할 것으로 예상된다. 만약 '빌보드 200' 정상에 오르게 되면 K팝 걸그룹 중에선 '블랙핑크' 이후 두 번째다. 25일 빌보드가 발표한 최신 차트(7월 29일 자)에 따르면, 뉴진스 '겟 업' 트리플 타이틀곡 중 하나인 '슈퍼 샤이'는 메인 싱글차트 '핫 100'에서 64위를 차지했다. 전주 대비 2계단 상승한 자체 최고 순위다. ◎공감언론 뉴시스 realpaper7@newsis.com"
[공식] 뉴진스, 'ASAP' MV 공개…금발 요정 비주얼 - 조선일보;https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudHMvZW50ZXJfZ2VuZXJhbC8yMDIzLzA3LzI2L0dVNk1CSUtJUVNNSUVaSjdKVU02RUMzRVBFL9IBaWh0dHBzOi8vd3d3LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudHMvZW50ZXJfZ2VuZXJhbC8yMDIzLzA3LzI2L0dVNk1CSUtJUVNNSUVaSjdKVU02RUMzRVBFLz9vdXRwdXRUeXBlPWFtcA?oc=5;2023-07-26 02:24:00;0;True;https://www.chosun.com/entertainments/enter_general/2023/07/26/GU6MBIKIQSMIEZJ7JUM6EC3EPE/;;
뉴진스, 제니, 조이의 발레코어룩은? #B_STAR일링 - 하퍼스바자;https://news.google.com/rss/articles/CBMiLWh0dHBzOi8vd3d3LmhhcnBlcnNiYXphYXIuY28ua3IvYXJ0aWNsZS83OTQ0M9IBAA?oc=5;2023-07-26 02:08:54;0;True;https://www.harpersbazaar.co.kr/article/79443;;
